0000000000000000000o`0000000000000000000o`24`0000000000000000000o`123964`663`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000k`0000000000000000000k`20`0000000000000000000k`123960`659`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000c`0000000000000000000c`39`0000000000000000000c`123952`651`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000a`0000000000000000000r`12`0000000000000000000a`123950`666`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000006`0000000000000000000a`27`00000000000000000006`123946`649`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000005`00000000000000000006`10`00000000000000000005`123945`645`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000003`00000000000000000005`6`00000000000000000003`123943`644`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000l`00000000000000000003`38`0000000000000000000l`123961`642`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000j`0000000000000000000l`5`0000000000000000000j`123959`660`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000m`0000000000000000000j`35`0000000000000000000m`123962`658`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000n`0000000000000000000m`3`0000000000000000000n`123963`661`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000g`0000000000000000000n`21`0000000000000000000g`123956`662`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000b`0000000000000000000g`19`0000000000000000000b`123951`655`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000008`0000000000000000000b`32`00000000000000000008`123948`650`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000h`0000000000000000000q`22`0000000000000000000h`123957`665`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000i`0000000000000000000u`23`0000000000000000000i`123958`669`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000d`00000000000000000008`16`0000000000000000000d`123953`647`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000f`0000000000000000000h`11`0000000000000000000f`123955`656`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000004`0000000000000000000i`34`00000000000000000004`123944`657`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000009`0000000000000000000p`36`00000000000000000009`123949`664`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000002`0000000000000000000d`26`00000000000000000002`123942`652`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000e`0000000000000000000v`30`0000000000000000000e`123954`670`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000001`0000000000000000000f`8`00000000000000000001`123941`654`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000007`00000000000000000004`17`00000000000000000007`123947`643`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000o`0000000000000000000s`18`0000000000000000000o`123964`667`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000k`00000000000000000009`25`0000000000000000000k`123960`648`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000c`00000000000000000002`13`0000000000000000000c`123952`641`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000a`0000000000000000000e`31`0000000000000000000a`123950`653`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000006`0000000000000000000t`15`00000000000000000006`123946`668`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000005`00000000000000000001`4`00000000000000000005`123945`640`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000003`00000000000000000007`28`00000000000000000003`123943`646`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000l`0000000000000000000o`9`0000000000000000000l`123961`663`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000j`0000000000000000000k`37`0000000000000000000j`123959`659`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000m`0000000000000000000c`2`0000000000000000000m`123962`651`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000n`0000000000000000000r`14`0000000000000000000n`123963`666`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000g`0000000000000000000a`33`0000000000000000000g`123956`649`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000b`00000000000000000006`29`0000000000000000000b`123951`645`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000008`00000000000000000005`1`00000000000000000008`123948`644`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000h`00000000000000000003`7`0000000000000000000h`123957`642`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000i`0000000000000000000l`24`0000000000000000000i`123958`660`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000d`0000000000000000000j`20`0000000000000000000d`123953`658`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000f`0000000000000000000m`39`0000000000000000000f`123955`661`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000004`0000000000000000000n`12`00000000000000000004`123944`662`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000009`0000000000000000000g`27`00000000000000000009`123949`655`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000002`0000000000000000000b`10`00000000000000000002`123942`650`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000e`0000000000000000000q`6`0000000000000000000e`123954`665`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000001`0000000000000000000u`38`00000000000000000001`123941`669`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000007`00000000000000000008`5`00000000000000000007`123947`647`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000o`0000000000000000000h`35`0000000000000000000o`123964`656`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000k`0000000000000000000i`3`0000000000000000000k`123960`657`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000c`0000000000000000000p`21`0000000000000000000c`123952`664`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000a`0000000000000000000d`19`0000000000000000000a`123950`652`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000006`0000000000000000000v`32`00000000000000000006`123946`670`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000005`0000000000000000000f`22`00000000000000000005`123945`654`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000003`00000000000000000004`23`00000000000000000003`123943`643`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000l`0000000000000000000s`16`0000000000000000000l`123961`667`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000j`00000000000000000009`11`0000000000000000000j`123959`648`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000m`00000000000000000002`34`0000000000000000000m`123962`641`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000n`0000000000000000000e`36`0000000000000000000n`123963`653`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000g`0000000000000000000t`26`0000000000000000000g`123956`668`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000b`00000000000000000001`30`0000000000000000000b`123951`640`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000008`00000000000000000007`8`00000000000000000008`123948`646`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000h`0000000000000000000o`17`0000000000000000000h`123957`663`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000i`0000000000000000000k`18`0000000000000000000i`123958`659`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000d`0000000000000000000c`25`0000000000000000000d`123953`651`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000f`0000000000000000000r`13`0000000000000000000f`123955`666`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000004`0000000000000000000a`31`00000000000000000004`123944`649`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000009`00000000000000000006`15`00000000000000000009`123949`645`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000002`00000000000000000005`4`00000000000000000002`123942`644`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000000e`00000000000000000003`28`0000000000000000000e`123954`642`9999-12-30 01:00:00.0`2013-05-08 02:00:00.0
