000000000000000002op`\N`\N`000000000000000002op`3515`o`o`o`o`2013-05-18 00:00:00.0
0000000000000000041j`\N`\N`0000000000000000041j`5273`k`k`k`k`2013-05-14 00:00:00.0
0000000000000000038t`\N`\N`0000000000000000038t`4239`c`c`c`c`2013-05-13 00:00:00.0
000000000000000003jg`\N`\N`000000000000000003jg`4622`r`r`r`r`2013-05-11 00:00:00.0
000000000000000000dz`\N`\N`000000000000000000dz`537`a`a`a`a`2013-05-16 00:00:00.0
000000000000000002ls`\N`\N`000000000000000002ls`3410`6`6`6`6`2013-05-12 00:00:00.0
000000000000000002t2`\N`\N`000000000000000002t2`3672`5`5`5`5`2013-05-17 00:00:00.0
000000000000000003gv`\N`\N`000000000000000003gv`4529`z`z`z`z`2013-05-10 00:00:00.0
000000000000000003vj`\N`\N`000000000000000003vj`5057`3`3`3`3`2013-05-09 00:00:00.0
0000000000000000026q`\N`\N`0000000000000000026q`2868`l`l`l`l`2013-05-15 00:00:00.0
000000000000000003ph`\N`\N`000000000000000003ph`4839`j`j`j`j`2013-05-18 00:00:00.0
000000000000000002jn`\N`\N`000000000000000002jn`3333`w`w`w`w`2013-05-14 00:00:00.0
000000000000000003h8`\N`\N`000000000000000003h8`4542`m`m`m`m`2013-05-13 00:00:00.0
00000000000000000124`\N`\N`00000000000000000124`1406`n`n`n`n`2013-05-11 00:00:00.0
000000000000000000os`\N`\N`000000000000000000os`926`g`g`g`g`2013-05-16 00:00:00.0
00000000000000000201`\N`\N`00000000000000000201`2627`b`b`b`b`2013-05-12 00:00:00.0
00000000000000000282`\N`\N`00000000000000000282`2916`y`y`y`y`2013-05-17 00:00:00.0
00000000000000000418`\N`\N`00000000000000000418`5262`q`q`q`q`2013-05-10 00:00:00.0
00000000000000000099`\N`\N`00000000000000000099`367`u`u`u`u`2013-05-09 00:00:00.0
000000000000000002ll`\N`\N`000000000000000002ll`3403`8`8`8`8`2013-05-15 00:00:00.0
0000000000000000026k`\N`\N`0000000000000000026k`2862`h`h`h`h`2013-05-18 00:00:00.0
000000000000000002n4`\N`\N`000000000000000002n4`3458`i`i`i`i`2013-05-14 00:00:00.0
000000000000000001g4`\N`\N`000000000000000001g4`1910`p`p`p`p`2013-05-13 00:00:00.0
000000000000000000gv`\N`\N`000000000000000000gv`641`d`d`d`d`2013-05-11 00:00:00.0
0000000000000000015e`\N`\N`0000000000000000015e`1524`v`v`v`v`2013-05-16 00:00:00.0
000000000000000002d4`\N`\N`000000000000000002d4`3098`f`f`f`f`2013-05-12 00:00:00.0
000000000000000000i2`\N`\N`000000000000000000i2`684`4`4`4`4`2013-05-17 00:00:00.0
000000000000000000to`\N`\N`000000000000000000to`1102`s`s`s`s`2013-05-10 00:00:00.0
000000000000000002ai`\N`\N`000000000000000002ai`3004`9`9`9`9`2013-05-09 00:00:00.0
000000000000000003xz`\N`\N`000000000000000003xz`5145`2`2`2`2`2013-05-15 00:00:00.0
00000000000000000117`\N`\N`00000000000000000117`1373`e`e`e`e`2013-05-18 00:00:00.0
00000000000000000036`\N`\N`00000000000000000036`148`x`x`x`x`2013-05-14 00:00:00.0
0000000000000000027n`\N`\N`0000000000000000027n`2901`t`t`t`t`2013-05-13 00:00:00.0
000000000000000002co`\N`\N`000000000000000002co`3082`1`1`1`1`2013-05-11 00:00:00.0
00000000000000000224`\N`\N`00000000000000000224`2702`7`7`7`7`2013-05-16 00:00:00.0
000000000000000000mk`\N`\N`000000000000000000mk`846`o`o`o`o`2013-05-12 00:00:00.0
000000000000000003jq`\N`\N`000000000000000003jq`4632`k`k`k`k`2013-05-17 00:00:00.0
000000000000000000ud`\N`\N`000000000000000000ud`1127`c`c`c`c`2013-05-10 00:00:00.0
000000000000000003fh`\N`\N`000000000000000003fh`4479`r`r`r`r`2013-05-09 00:00:00.0
000000000000000001ll`\N`\N`000000000000000001ll`2107`a`a`a`a`2013-05-15 00:00:00.0
000000000000000001pr`\N`\N`000000000000000001pr`2257`6`6`6`6`2013-05-18 00:00:00.0
000000000000000000tm`\N`\N`000000000000000000tm`1100`5`5`5`5`2013-05-14 00:00:00.0
00000000000000000278`\N`\N`00000000000000000278`2886`z`z`z`z`2013-05-13 00:00:00.0
000000000000000000o4`\N`\N`000000000000000000o4`902`3`3`3`3`2013-05-11 00:00:00.0
000000000000000000wp`\N`\N`000000000000000000wp`1211`l`l`l`l`2013-05-16 00:00:00.0
000000000000000003aq`\N`\N`000000000000000003aq`4308`j`j`j`j`2013-05-12 00:00:00.0
000000000000000001jb`\N`\N`000000000000000001jb`2025`w`w`w`w`2013-05-17 00:00:00.0
000000000000000002qr`\N`\N`000000000000000002qr`3589`m`m`m`m`2013-05-10 00:00:00.0
0000000000000000018y`\N`\N`0000000000000000018y`1652`n`n`n`n`2013-05-09 00:00:00.0
000000000000000000lh`\N`\N`000000000000000000lh`807`g`g`g`g`2013-05-15 00:00:00.0
000000000000000002jb`\N`\N`000000000000000002jb`3321`b`b`b`b`2013-05-18 00:00:00.0
000000000000000002xk`\N`\N`000000000000000002xk`3834`y`y`y`y`2013-05-14 00:00:00.0
0000000000000000034e`\N`\N`0000000000000000034e`4080`q`q`q`q`2013-05-13 00:00:00.0
000000000000000003at`\N`\N`000000000000000003at`4311`u`u`u`u`2013-05-11 00:00:00.0
000000000000000001o8`\N`\N`000000000000000001o8`2202`8`8`8`8`2013-05-16 00:00:00.0
0000000000000000016i`\N`\N`0000000000000000016i`1564`h`h`h`h`2013-05-12 00:00:00.0
0000000000000000005r`\N`\N`0000000000000000005r`241`i`i`i`i`2013-05-17 00:00:00.0
000000000000000001pa`\N`\N`000000000000000001pa`2240`p`p`p`p`2013-05-10 00:00:00.0
0000000000000000001r`\N`\N`0000000000000000001r`97`d`d`d`d`2013-05-09 00:00:00.0
000000000000000002v9`\N`\N`000000000000000002v9`3751`v`v`v`v`2013-05-15 00:00:00.0
000000000000000003nh`\N`\N`000000000000000003nh`4767`f`f`f`f`2013-05-18 00:00:00.0
0000000000000000034j`\N`\N`0000000000000000034j`4085`4`4`4`4`2013-05-14 00:00:00.0
000000000000000001ac`\N`\N`000000000000000001ac`1702`s`s`s`s`2013-05-13 00:00:00.0
000000000000000001qg`\N`\N`000000000000000001qg`2282`9`9`9`9`2013-05-11 00:00:00.0
000000000000000001yl`\N`\N`000000000000000001yl`2575`2`2`2`2`2013-05-16 00:00:00.0
000000000000000002b1`\N`\N`000000000000000002b1`3023`e`e`e`e`2013-05-12 00:00:00.0
0000000000000000031i`\N`\N`0000000000000000031i`3976`x`x`x`x`2013-05-17 00:00:00.0
000000000000000001v5`\N`\N`000000000000000001v5`2451`t`t`t`t`2013-05-10 00:00:00.0
000000000000000001xl`\N`\N`000000000000000001xl`2539`1`1`1`1`2013-05-09 00:00:00.0
